E1,E2,ENDPCT70,RV
75,60,1,0
69,63,1,0
75,87,1,0
63,36,0,1
57,57,1,1
63,60,0,1
87,63,1,1
84,66,1,1
72,75,1,1
66,81,1,1
90,84,1,1
90,87,1,1
96,87,1,1
60,93,1,1
72,57,1,2
60,63,1,2
69,63,1,2
84,66,1,2
51,72,1,2
75,81,1,2
81,96,1,2
27,30,0,3
27,30,0,3
60,39,0,3
66,54,0,3
66,57,1,3
69,57,1,3
51,63,0,3
69,69,0,3
69,72,1,3
87,72,1,3
75,75,1,3
78,75,1,3
90,84,1,3
60,45,0,4
36,54,1,4
54,60,0,4
63,60,0,4
69,60,1,4
66,63,1,4
69,63,1,4
84,75,1,4
75,81,1,4
78,81,1,4
87,93,1,4
102,96,1,4
33,27,0,5
39,33,0,5
45,39,0,5
45,51,0,5
57,60,1,5
81,60,1,5
78,78,1,5
102,90,1,5
96,96,1,5
48,36,0,6
39,54,0,6
54,54,0,6
78,57,1,6
75,60,1,6
75,60,1,6
66,69,1,6
93,84,1,6
93,96,1,6
51,42,0,7
63,42,1,7
72,48,1,7
60,57,1,7
75,57,0,7
66,69,1,7
78,72,1,7
66,78,1,7
87,90,1,7
84,96,1,7
54,36,0,8
45,39,0,8
72,45,1,8
66,57,1,8
54,60,1,8
60,63,1,8
60,63,1,8
63,63,1,8
69,63,1,8
63,75,1,8
87,87,1,8
93,87,1,8
93,96,1,8
66,48,1,9
30,57,0,9
57,57,0,9
75,72,1,9
84,84,1,9
93,87,1,9
81,90,1,9
45,45,0,10
45,48,1,10
57,66,1,10
96,87,1,10
